address,city,days_open,latitude,name,state,zip,longitude
301 E. 9th St.,Chester,"['Monday', 'Friday']",39.8533866,"Chester Eastside, Inc.",PA,19013,-75.3583645
2200 Germantown Ave.,Philadelphia,['Saturday'],39.9848776,"Children's Mission, Inc.",PA,19133,-75.1443334
3006 W. Diamond St.,Philadelphia,['Saturday'],39.98799218,Christ Evangelical Lutheran Church,PA,19121,-75.18263649
7240 Walnut St.,Upper Darby,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']",39.9572035,Christ Lutheran Church,PA,19082,-75.2646805
500 S. 61st St.,Philadelphia,['Saturday'],39.954082,Christ of Calvary Covenant,PA,19143,-75.2446983
14 S. Morton Ave.,Morton,['Saturday'],39.9077355,Christ Tabernacle Church,PA,19070,-75.3280126
465 Main St.,Tullytown,['Open:'],40.14142739,"Christ the King Orthodox Church, Food Pantry",PA,19007,-74.8130195
1020 S. 10th St.,Philadelphia,['Sunday'],39.9375644,Christ's Presbyterian Church,PA,19147,-75.1600766
2071 E. Maple Ave.,Langhorne,['Thursday'],40.1774272,Christian Care,PA,19047,-74.914009
250 Green Ln.,Bristol,['Tuesday'],40.11270169,Christian Care Ministries,PA,19007,-74.83961046
661 N. 39th St.,Philadelphia,"['Monday', 'Wednesday', 'Friday']",39.965029,Church Of New Hope And Faith,PA,19104,-75.199877
1601 W. Dauphin St.,Philadelphia,"['Wednesday', 'Friday']",39.9917266,Church Of Our Lord Jesus Christ Ark Of Deliverance,PA,19132,-75.1857325
2530 Wharton St.,Philadelphia,"['Wednesday', 'Friday', 'Saturday']",39.93647045,Church of Pentecost USA,PA,19146,-75.18631835
260 S. 51st St.,Philadelphia,['Wednesday'],39.95479422,Church of the Holy Apostles and the Mediator,PA,19139,-75.22404374
801 S. 11th St.,Philadelphia,"['Wednesday', 'Friday']",39.939999,Church of the Living God,PA,19147,-75.160676
1440 S. 24th St.,Philadelphia,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Saturday']",39.9340522,Church of the Redeemer Baptist,PA,19146,-75.18465625
800 S. 1st Ave.,Coatesville,"['Tuesday', 'Thursday']",39.97357137,Coatesville Community Food Co-op,PA,19320,-75.81960129
212 MacDade Blvd.,Collingdale,['Thursday'],39.91593213,Collingdale Church of the Nazarene,PA,19023,-75.26770841
2646 Kensington Ave.,Philadelphia,['Monday'],39.98974845,Community Center at Visitation,PA,19125,-75.12620624
216 W. Somerset St.,Philadelphia,"['Monday', 'Tuesday', 'Wednesday', 'Thursday']",39.9929414,Congreso de Latinos Unidos,PA,19133,-75.13543575
75 Downey Dr.,Warminster,"['Monday', 'Wednesday', 'Friday']",40.18753661,"Coordinating Council of Health and Welfare, Inc.",PA,18974,-75.0871411
2117 N. 33rd St.,Philadelphia,['Tuesday'],39.98941245,Cornerstone Baptist Church,PA,19121,-75.18644725
2916 N. 6th St.,Philadelphia,['Thursday'],39.9959401,Crossroads Community Center,PA,19133,-75.1414984
1201 S. 47th St.,Philadelphia,['Friday'],39.9449127,Crusaders for Christ Church,PA,19143,-75.2123223
423 E. Lincoln Hwy.,Coatesville,"['Tuesday', 'Wednesday', 'Thursday']",39.9861247,CYWA,PA,19320,-75.8064526
1441 E. Hunting Park Ave.,Philadelphia,['Saturday'],40.01039106,Daily Bread at Holy Spirit United Methodist Church,PA,19124,-75.09857545
130 East 7th Street,Chester,['Wednesday'],39.8512769,Delaware County Family Service Center - Chester (Catholic Social Services),PA,19013,-75.3598696
2001 W. Lehigh Ave.,Philadelphia,"['Tuesday', 'Thursday']",39.99607575,Deliverance Evangelistic Church Emergency Food Pantry,PA,19132,-75.16478693
2527 W. Allegheny Ave.,Philadelphia,['Wednesday'],40.0043635,Devereux UMC,PA,19132,-75.1718887
6667 Chester Ave.,Philadelphia,"['Tuesday', 'Friday']",39.9276537,Divine Mercy Food Pantry,PA,19142,-75.2402279
1321 N. Lawrence St.,Philadelphia,"['Tuesday', 'Thursday', 'Saturday']",39.97162306,Drueding Center,PA,19122,-75.14362655
3252 N. Etting St.,Philadelphia,"['Wednesday', 'Saturday']",40.0055701,Drug Task Force Ministry,PA,19129,-75.1740927
2140 N. 33rd St.,Philadelphia,['Monday'],39.98933406,East Park Revitalization Alliance Food Pantry Location 1,PA,19121,-75.18701822
3209 W. Clifford St.,Philadelphia,['Thursday'],39.98327586,East Park Revitalization Alliance Food Pantry Location 2,PA,19121,-75.18686912
8325 Lindbergh Blvd.,Philadelphia,"['Monday', 'Tuesday', 'Wednesday']",39.9025558,Eastwick UMC Mission House,PA,19153,-75.2467187
6006 W. Girard Ave.,Philadelphia,"['Tuesday', 'Wednesday', 'Thursday']",39.96983892,ECS St. Barnabas,PA,19151,-75.23965792
1720 N. 22nd St.,Philadelphia,['Saturday'],39.98076945,EIBC- Emmanuel Institutional Baptist Church,PA,19121,-75.17091345
4244 Old York Rd.,Philadelphia,['Tuesday'],40.01734576,El Shaddai Baptist Church,PA,19140,-75.14728855
9 S. Bryn Mawr Ave.,Bryn Mawr,"['Tuesday', 'Thursday']",40.0203235,ElderNet's Ada Mutch Community Resource Center,PA,19010,-75.31773562
1700 Woodbourne Rd.,Levittown,"['Monday', 'Wednesday', 'Friday', 'Saturday']",40.15667,Emergency Relief Association of Lower Bucks County c/o United Christian Church,PA,19057,-74.8623992
100 S. Main St.,Hatfield,"['Tuesday', 'Wednesday']",40.27861265,Emmanuel E. C. Church Food Cupboard,PA,19440,-75.298359
2346 N. 17th St.,Philadelphia,['Thursday'],39.98921814,Emmanuel United Methodist Church Food Pantry,PA,19132,-75.16064398
2466 N. Opal St.,Philadelphia,"['Sunday', 'Wednesday']",39.99149951,Endtime Church of Jesus Christ,PA,19132,-75.16442216
246 W. Coulter St.,Philadelphia,"['Monday', 'Tuesday', 'Wednesday', 'Thursday']",40.02809245,Enon Tabernacle Baptist Church Helping Hands Pantry,PA,19144,-75.17563432
2001 S. 65th St.,Philadelphia,['Saturday'],39.92765983,Eternal Life Missionary Baptist Church,PA,19142,-75.23694133
5701 Grays Ave.,Philadelphia,['Thursday'],39.93172016,Ezekial Baptist,PA,19143,-75.22001868
1926 Margaret St.,Philadelphia,"['Tuesday', 'Wednesday', 'Thursday']",40.0129717,Faith Assembly of God,PA,19124,-75.0777968
1515 Wistar Rd.,Fairless Hills,"['Sunday', 'Tuesday', 'Wednesday']",40.166101,Faith Baptist Christian Academy,PA,19030,-74.8684879
108 E. Price St.,Philadelphia,['Thursday'],40.0377794,Faith Community Development Corporation,PA,19144,-75.1739898
5618 Kingsessing Ave.,Philadelphia,['Tuesday'],39.93611,Faith Temple Pentecostal Church,PA,19143,-75.224798
3416 W. Allegheny Ave.,Philadelphia,['Wednesday'],40.00570336,Faithful Temple Evangelistic Deliverance Church,PA,19132,-75.18542164
2501 Kensington Ave.,Philadelphia,['Saturday'],39.988177,"Family Feeding Family, Inc.",PA,19125,-75.12831
2059 E. Chelten Ave.,Philadelphia,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']",40.05186986,"Family Support Circle, Inc. Food Pantry",PA,19138,-75.15407857
3040 Germantown Ave.,Philadelphia,['Friday'],39.9986705,Father's House of Prayer Mission Baptist Church Food Pantry,PA,19133,-75.1474834
2915 Street Rd.,Bensalem,"['Tuesday', 'Thursday']",40.1389699,Fatima Outreach Center - Martha's Choice Market Place,PA,19020,-74.9872122
6601 Elmwood Ave.,Philadelphia,['Friday'],39.92117341,FAWN at Tilden Middle School,PA,19142,-75.23162818
